station;species;fraction;density_50cm3;raw_density
st1;Ammonia sp.;63-100;0;0
st1;Astrononion galloway;63-100;0;0
st1;Astrononion sp.;63-100;0;0
st1;Baculogypsinoides sp.;63-100;0;0
st1;Bolivina pseudopunctata;63-100;29.08016244;37
st1;Buccella sp.;63-100;0;0
st1;Buccella frigida;63-100;0;0
st1;Cassidulina reniforme;63-100;146.9727129;187
st1;Cassidulina sp.;63-100;0;0
st1;Cassidulina sp. morphotype 1;63-100;0;0
st1;Cassidulina sp. morphotype 2;63-100;0;0
st1;Cassidulina neoteretis;63-100;0;0
st1;Cibicides bertheloti;63-100;0;0
st1;Cibicidoides lobatulus;63-100;0;0
st1;Dentalina ittai;63-100;0;0
st1;Discorbina sp.;63-100;0;0
st1;Elphidium bartletti;63-100;0;0
st1;Elphidium clavatum;63-100;0;0
st1;Elphidium sp.;63-100;0;0
st1;Epistominella exigua;63-100;6.28760269;8
st1;Eponides sp.;63-100;0;0
st1;Fissurina sp.;63-100;0;0
st1;Globobulimina auriculata;63-100;0;0
st1;Globobulimina sp.;63-100;0;0
st1;Globocassidulina sp.;63-100;0;0
st1;Hyalinonetrion sp.;63-100;0;0
st1;Islandiella helenae;63-100;0;0
st1;Islandiella norcrossi;63-100;0;0
st1;Islandiella sp.;63-100;0;0
st1;Lagena striata;63-100;0;0
st1;Lotostomoides calomorphum;63-100;0;0
st1;Nonion commune;63-100;0;0
st1;Nonion sp.;63-100;0;0
st1;Nonionella digitata;63-100;0;0
st1;Nonionella turgida;63-100;0;0
st1;Nonionellina labradorica;63-100;0;0
st1;Procerolagena gracilis (strie);63-100;0;0
st1;Pullenia cf osloensis;63-100;0.785950336;1
st1;Melonis pompilioides;63-100;0;0
st1;Pyrulina cilindroides;63-100;0;0
st1;Pyrulina sp.;63-100;0;0
st1;Robertina arctica;63-100;0;0
st1;Stainforthia feylingi;63-100;18.86280807;24
st1;Stainforthia loeblichi;63-100;12.57520538;16
st1;Trifarina fluens;63-100;0;0
st1;Cornuspira foliacea;63-100;0;0
st1;Cornuspira involvens;63-100;0;0
st1;Cornuspira sp.;63-100;0;0
st1;Miliolinella circularis;63-100;0;0
st1;Miliolinella sp.;63-100;0;0
st1;Miliolinella sp. juvanile;63-100;0;0
st1;Pyrgo williamsoni;63-100;0;0
st1;Quinqueloculina arctica;63-100;0;0
st1;Quinqueloculina seminula;63-100;0;0
st1;Quinqueloculina stalkeri;63-100;17.2909074;22
st1;Triloculina oblonga;63-100;0;0
st1;Triloculina trihedra;63-100;0;0
st1;Adercotryma glomeratum;63-100;0;0
st1;Ammodiscus sp.;63-100;0;0
st1;Ammotium cassis;63-100;0;0
st1;Capsammina bowmanni;63-100;0;0
st1;Cuneata arctica;63-100;64.44792757;82
st1;Eggerella advena;63-100;0;0
st1;Glomospira sp.;63-100;0;0
st1;Haplophragmoides sp.;63-100;0;0
st1;Hippocrepina sp.;63-100;0;0
st1;Hormosina globulifera;63-100;0;0
st1;Labrospira crassimargo;63-100;0;0
st1;Lagenammina difflugiformis;63-100;0;0
st1;Leptohalysis scottii;63-100;0;0
st1;Paratrochammina sp.;63-100;0;0
st1;Psammosphaera fusca;63-100;0;0
st1;Recurvoides turbinatus;63-100;0;0
st1;Reophax fusiformis;63-100;0;0
st1;Reophax catella;63-100;0.785950336;1
st1;Reophax scorpiurus;63-100;0;0
st1;Reophax sp.;63-100;0;0
st1;Saccammina cf. sphaerica;63-100;0;0
st1;Silicosigmoilina groenlandica;63-100;0;0
st1;Siphonaperta agglutinata;63-100;0;0
st1;Spiroplectammina biformis;63-100;190.9859317;243
st1;Textularia earlandi;63-100;269.5809653;343
st1;Textularia torquata;63-100;0;0
st1;Trochammina inflata;63-100;0;0
st1;Trochammina sp.;63-100;0;0
st2;Ammonia sp.;63-100;0;0
st2;Astrononion galloway;63-100;0;0
st2;Astrononion sp.;63-100;0;0
st2;Baculogypsinoides sp.;63-100;0;0
st2;Bolivina pseudopunctata;63-100;2.357851009;3
st2;Buccella sp.;63-100;0;0
st2;Buccella frigida;63-100;0;0
st2;Cassidulina reniforme;63-100;3.143801345;4
st2;Cassidulina sp.;63-100;0;0
st2;Cassidulina sp. morphotype 1;63-100;0;0
st2;Cassidulina sp. morphotype 2;63-100;0;0
st2;Cassidulina neoteretis;63-100;0;0
st2;Cibicides bertheloti;63-100;0;0
st2;Cibicidoides lobatulus;63-100;0;0
st2;Dentalina ittai;63-100;0;0
st2;Discorbina sp.;63-100;0;0
st2;Elphidium bartletti;63-100;0;0
st2;Elphidium clavatum;63-100;0;0
st2;Elphidium sp.;63-100;4.715702018;6
st2;Epistominella exigua;63-100;0;0
st2;Eponides sp.;63-100;0;0
st2;Fissurina sp.;63-100;0;0
st2;Globobulimina auriculata;63-100;0;0
st2;Globobulimina sp.;63-100;0;0
st2;Globocassidulina sp.;63-100;0;0
st2;Hyalinonetrion sp.;63-100;0;0
st2;Islandiella helenae;63-100;0;0
st2;Islandiella norcrossi;63-100;0;0
st2;Islandiella sp.;63-100;0;0
st2;Lagena striata;63-100;0;0
st2;Lotostomoides calomorphum;63-100;0;0
st2;Nonion commune;63-100;0;0
st2;Nonion sp.;63-100;0;0
st2;Nonionella digitata;63-100;0;0
st2;Nonionella turgida;63-100;0;0
st2;Nonionellina labradorica;63-100;0;0
st2;Procerolagena gracilis (strie);63-100;0;0
st2;Pullenia cf osloensis;63-100;0;0
st2;Melonis pompilioides;63-100;0;0
st2;Pyrulina cilindroides;63-100;0;0
st2;Pyrulina sp.;63-100;0;0
st2;Robertina arctica;63-100;0;0
st2;Stainforthia feylingi;63-100;0;0
st2;Stainforthia loeblichi;63-100;0;0
st2;Trifarina fluens;63-100;0;0
st2;Cornuspira foliacea;63-100;0;0
st2;Cornuspira involvens;63-100;0;0
st2;Cornuspira sp.;63-100;0;0
st2;Miliolinella circularis;63-100;0;0
st2;Miliolinella sp.;63-100;0;0
st2;Miliolinella sp. juvanile;63-100;0;0
st2;Pyrgo williamsoni;63-100;0;0
st2;Quinqueloculina arctica;63-100;0;0
st2;Quinqueloculina seminula;63-100;0;0
st2;Quinqueloculina stalkeri;63-100;21.22065908;27
st2;Triloculina oblonga;63-100;0;0
st2;Triloculina trihedra;63-100;0;0
st2;Adercotryma glomeratum;63-100;0;0
st2;Ammodiscus sp.;63-100;0;0
st2;Ammotium cassis;63-100;0;0
st2;Capsammina bowmanni;63-100;696.3519979;886
st2;Cuneata arctica;63-100;0;0
st2;Eggerella advena;63-100;0;0
st2;Glomospira sp.;63-100;0;0
st2;Haplophragmoides sp.;63-100;0;0
st2;Hippocrepina sp.;63-100;0;0
st2;Hormosina globulifera;63-100;0;0
st2;Labrospira crassimargo;63-100;0;0
st2;Lagenammina difflugiformis;63-100;0;0
st2;Leptohalysis scottii;63-100;0;0
st2;Paratrochammina sp.;63-100;0;0
st2;Psammosphaera fusca;63-100;0;0
st2;Recurvoides turbinatus;63-100;0;0
st2;Reophax fusiformis;63-100;0;0
st2;Reophax catella;63-100;0;0
st2;Reophax scorpiurus;63-100;0;0
st2;Reophax sp.;63-100;0;0
st2;Saccammina cf. sphaerica;63-100;0;0
st2;Silicosigmoilina groenlandica;63-100;0;0
st2;Siphonaperta agglutinata;63-100;0;0
st2;Spiroplectammina biformis;63-100;3.143801345;4
st2;Textularia earlandi;63-100;60.51817589;77
st2;Textularia torquata;63-100;0;0
st2;Trochammina inflata;63-100;0;0
st2;Trochammina sp.;63-100;0;0
st3;Ammonia sp.;63-100;0;0
st3;Astrononion galloway;63-100;0;0
st3;Astrononion sp.;63-100;37.72561614;48
st3;Baculogypsinoides sp.;63-100;0;0
st3;Bolivina pseudopunctata;63-100;235.7851009;300
st3;Buccella sp.;63-100;0;0
st3;Buccella frigida;63-100;0;0
st3;Cassidulina reniforme;63-100;91.17023901;116
st3;Cassidulina sp.;63-100;0;0
st3;Cassidulina sp. morphotype 1;63-100;0;0
st3;Cassidulina sp. morphotype 2;63-100;0;0
st3;Cassidulina neoteretis;63-100;0;0
st3;Cibicides bertheloti;63-100;0;0
st3;Cibicidoides lobatulus;63-100;0;0
st3;Dentalina ittai;63-100;0;0
st3;Discorbina sp.;63-100;0;0
st3;Elphidium bartletti;63-100;0;0
st3;Elphidium clavatum;63-100;0;0
st3;Elphidium sp.;63-100;25.15041076;32
st3;Epistominella exigua;63-100;56.58842421;72
st3;Eponides sp.;63-100;0;0
st3;Fissurina sp.;63-100;0;0
st3;Globobulimina auriculata;63-100;0;0
st3;Globobulimina sp.;63-100;0;0
st3;Globocassidulina sp.;63-100;0;0
st3;Hyalinonetrion sp.;63-100;0;0
st3;Islandiella helenae;63-100;9.431404035;12
st3;Islandiella norcrossi;63-100;0;0
st3;Islandiella sp.;63-100;0;0
st3;Lagena striata;63-100;0;0
st3;Lotostomoides calomorphum;63-100;25.15041076;32
st3;Nonion commune;63-100;0;0
st3;Nonion sp.;63-100;0;0
st3;Nonionella digitata;63-100;0;0
st3;Nonionella turgida;63-100;0;0
st3;Nonionellina labradorica;63-100;402.4065722;512
st3;Procerolagena gracilis (strie);63-100;0;0
st3;Pullenia cf osloensis;63-100;12.57520538;16
st3;Melonis pompilioides;63-100;40.86941749;52
st3;Pyrulina cilindroides;63-100;9.431404035;12
st3;Pyrulina sp.;63-100;0;0
st3;Robertina arctica;63-100;0;0
st3;Stainforthia feylingi;63-100;556.4528381;708
st3;Stainforthia loeblichi;63-100;44.01321883;56
st3;Trifarina fluens;63-100;0;0
st3;Cornuspira foliacea;63-100;0;0
st3;Cornuspira involvens;63-100;0;0
st3;Cornuspira sp.;63-100;3.143801345;4
st3;Miliolinella circularis;63-100;0;0
st3;Miliolinella sp.;63-100;0;0
st3;Miliolinella sp. juvanile;63-100;0;0
st3;Pyrgo williamsoni;63-100;0;0
st3;Quinqueloculina arctica;63-100;0;0
st3;Quinqueloculina seminula;63-100;0;0
st3;Quinqueloculina stalkeri;63-100;22.00660942;28
st3;Triloculina oblonga;63-100;0;0
st3;Triloculina trihedra;63-100;0;0
st3;Adercotryma glomeratum;63-100;3.143801345;4
st3;Ammodiscus sp.;63-100;3.143801345;4
st3;Ammotium cassis;63-100;0;0
st3;Capsammina bowmanni;63-100;0;0
st3;Cuneata arctica;63-100;50.30082152;64
st3;Eggerella advena;63-100;0;0
st3;Glomospira sp.;63-100;0;0
st3;Haplophragmoides sp.;63-100;0;0
st3;Hippocrepina sp.;63-100;0;0
st3;Hormosina globulifera;63-100;0;0
st3;Labrospira crassimargo;63-100;0;0
st3;Lagenammina difflugiformis;63-100;6.28760269;8
st3;Leptohalysis scottii;63-100;18.86280807;24
st3;Paratrochammina sp.;63-100;0;0
st3;Psammosphaera fusca;63-100;0;0
st3;Recurvoides turbinatus;63-100;0;0
st3;Reophax fusiformis;63-100;12.57520538;16
st3;Reophax catella;63-100;0;0
st3;Reophax scorpiurus;63-100;0;0
st3;Reophax sp.;63-100;0;0
st3;Saccammina cf. sphaerica;63-100;0;0
st3;Silicosigmoilina groenlandica;63-100;0;0
st3;Siphonaperta agglutinata;63-100;0;0
st3;Spiroplectammina biformis;63-100;238.9289022;304
st3;Textularia earlandi;63-100;430.7007843;548
st3;Textularia torquata;63-100;6.28760269;8
st3;Trochammina inflata;63-100;0;0
st3;Trochammina sp.;63-100;0;0
st4;Ammonia sp.;63-100;0;0
st4;Astrononion galloway;63-100;0;0
st4;Astrononion sp.;63-100;16.24297362;21
st4;Baculogypsinoides sp.;63-100;0;0
st4;Bolivina pseudopunctata;63-100;171.8611402;219
st4;Buccella sp.;63-100;1.571900673;2
st4;Buccella frigida;63-100;0;0
st4;Cassidulina reniforme;63-100;104.7933782;133
st4;Cassidulina sp.;63-100;0;0
st4;Cassidulina sp. morphotype 1;63-100;0;0
st4;Cassidulina sp. morphotype 2;63-100;0;0
st4;Cassidulina neoteretis;63-100;0;0
st4;Cibicides bertheloti;63-100;0;0
st4;Cibicidoides lobatulus;63-100;0;0
st4;Dentalina ittai;63-100;0;0
st4;Discorbina sp.;63-100;0;0
st4;Elphidium bartletti;63-100;0;0
st4;Elphidium clavatum;63-100;0;0
st4;Elphidium sp.;63-100;74.4032985;95
st4;Epistominella exigua;63-100;53.96858976;69
st4;Eponides sp.;63-100;0;0
st4;Fissurina sp.;63-100;7.335536472;9
st4;Globobulimina auriculata;63-100;0;0
st4;Globobulimina sp.;63-100;2.095867563;3
st4;Globocassidulina sp.;63-100;0;0
st4;Hyalinonetrion sp.;63-100;0;0
st4;Islandiella helenae;63-100;2.095867563;3
st4;Islandiella norcrossi;63-100;0;0
st4;Islandiella sp.;63-100;2.095867563;3
st4;Lagena striata;63-100;0;0
st4;Lotostomoides calomorphum;63-100;2.095867563;3
st4;Nonion commune;63-100;0;0
st4;Nonion sp.;63-100;0;0
st4;Nonionella digitata;63-100;0;0
st4;Nonionella turgida;63-100;0;0
st4;Nonionellina labradorica;63-100;16.24297362;21
st4;Procerolagena gracilis (strie);63-100;0;0
st4;Pullenia cf osloensis;63-100;9.431404035;12
st4;Melonis pompilioides;63-100;23.0545432;29
st4;Pyrulina cilindroides;63-100;0;0
st4;Pyrulina sp.;63-100;0;0
st4;Robertina arctica;63-100;0;0
st4;Stainforthia feylingi;63-100;299.1850947;381
st4;Stainforthia loeblichi;63-100;18.86280807;24
st4;Trifarina fluens;63-100;0;0
st4;Cornuspira foliacea;63-100;0;0
st4;Cornuspira involvens;63-100;0;0
st4;Cornuspira sp.;63-100;1.571900673;2
st4;Miliolinella circularis;63-100;3.143801345;4
st4;Miliolinella sp.;63-100;5.763635799;7
st4;Miliolinella sp. juvanile;63-100;0;0
st4;Pyrgo williamsoni;63-100;0;0
st4;Quinqueloculina arctica;63-100;0;0
st4;Quinqueloculina seminula;63-100;0;0
st4;Quinqueloculina stalkeri;63-100;20.43470874;26
st4;Triloculina oblonga;63-100;0;0
st4;Triloculina trihedra;63-100;0;0
st4;Adercotryma glomeratum;63-100;0;0
st4;Ammodiscus sp.;63-100;0;0
st4;Ammotium cassis;63-100;0;0
st4;Capsammina bowmanni;63-100;0;0
st4;Cuneata arctica;63-100;56.06445732;71
st4;Eggerella advena;63-100;0;0
st4;Glomospira sp.;63-100;2.095867563;3
st4;Haplophragmoides sp.;63-100;0;0
st4;Hippocrepina sp.;63-100;0;0
st4;Hormosina globulifera;63-100;0;0
st4;Labrospira crassimargo;63-100;0;0
st4;Lagenammina difflugiformis;63-100;15.19503983;19
st4;Leptohalysis scottii;63-100;12.57520538;16
st4;Paratrochammina sp.;63-100;0;0
st4;Psammosphaera fusca;63-100;0;0
st4;Recurvoides turbinatus;63-100;0;0
st4;Reophax fusiformis;63-100;7.335536472;9
st4;Reophax catella;63-100;4.191735127;5
st4;Reophax scorpiurus;63-100;0;0
st4;Reophax sp.;63-100;0;0
st4;Saccammina cf. sphaerica;63-100;0;0
st4;Silicosigmoilina groenlandica;63-100;0;0
st4;Siphonaperta agglutinata;63-100;1.571900673;2
st4;Spiroplectammina biformis;63-100;98.50577548;125
st4;Textularia earlandi;63-100;156.6661004;199
st4;Textularia torquata;63-100;0;0
st4;Trochammina inflata;63-100;0;0
st4;Trochammina sp.;63-100;0;0
st5;Ammonia sp.;63-100;0;0
st5;Astrononion galloway;63-100;0;0
st5;Astrononion sp.;63-100;0;0
st5;Baculogypsinoides sp.;63-100;0;0
st5;Bolivina pseudopunctata;63-100;255.6958427;325
st5;Buccella sp.;63-100;0;0
st5;Buccella frigida;63-100;0;0
st5;Cassidulina reniforme;63-100;31.43801345;40
st5;Cassidulina sp.;63-100;0;0
st5;Cassidulina sp. morphotype 1;63-100;0;0
st5;Cassidulina sp. morphotype 2;63-100;0;0
st5;Cassidulina neoteretis;63-100;0;0
st5;Cibicides bertheloti;63-100;0;0
st5;Cibicidoides lobatulus;63-100;0;0
st5;Dentalina ittai;63-100;0;0
st5;Discorbina sp.;63-100;0;0
st5;Elphidium bartletti;63-100;0;0
st5;Elphidium clavatum;63-100;0;0
st5;Elphidium sp.;63-100;9.431404035;12
st5;Epistominella exigua;63-100;40.86941749;52
st5;Eponides sp.;63-100;0;0
st5;Fissurina sp.;63-100;20.95867563;27
st5;Globobulimina auriculata;63-100;0;0
st5;Globobulimina sp.;63-100;0;0
st5;Globocassidulina sp.;63-100;0;0
st5;Hyalinonetrion sp.;63-100;0;0
st5;Islandiella helenae;63-100;3.143801345;4
st5;Islandiella norcrossi;63-100;0;0
st5;Islandiella sp.;63-100;9.431404035;12
st5;Lagena striata;63-100;8.383470253;11
st5;Lotostomoides calomorphum;63-100;42.96528505;55
st5;Nonion commune;63-100;0;0
st5;Nonion sp.;63-100;0;0
st5;Nonionella digitata;63-100;0;0
st5;Nonionella turgida;63-100;0;0
st5;Nonionellina labradorica;63-100;221.1140279;281
st5;Procerolagena gracilis (strie);63-100;4.191735127;5
st5;Pullenia cf osloensis;63-100;208.5388226;265
st5;Melonis pompilioides;63-100;88.02643766;112
st5;Pyrulina cilindroides;63-100;2.095867563;3
st5;Pyrulina sp.;63-100;0;0
st5;Robertina arctica;63-100;0;0
st5;Stainforthia feylingi;63-100;394.0231019;501
