species;shell;pores;shape;chamber_number;symmetry;teeth
Adercotryma glomeratum;0;0;rounded;1;0;none
Ammodiscus sp.;0;0;rounded;0;1;none
Ammonia sp.;1;1;rounded;1;0;none
Ammotium cassis;0;0;elongated;1;1;none
Astrononion galloway;1;1;rounded;1;1;none
Astrononion sp.;1;1;rounded;1;1;none
Baculogypsinoides sp.;1;1;irregular;1;0;none
Bolivina pseudopunctata;1;1;elongated;1;0;single-tooth
Buccella frigida;1;1;rounded;1;0;tubercles
Buccella sp.;1;1;rounded;1;0;tubercles
Capsammina bowmanni;0;0;rounded;0;0;none
Cassidulina neoteretis;1;1;rounded;1;0;single-tooth
Cassidulina reniforme;1;1;rounded;1;0;single-tooth
Cassidulina sp.;1;1;rounded;1;0;single-tooth
Cassidulina sp. morphotype 1;1;1;rounded;1;0;single-tooth
Cassidulina sp. morphotype 2;1;1;rounded;1;0;single-tooth
Cibicides bertheloti;1;1;rounded;1;0;none
Cibicidoides lobatulus;1;1;rounded;1;0;none
Cornuspira foliacea;1;0;rounded;0;1;none
Cornuspira involvens;1;0;rounded;0;1;none
Cornuspira sp.;1;0;rounded;0;1;none
Cuneata arctica;0;0;elongated;1;1;none
Dentalina ittai;1;1;elongated;1;1;none
Discorbina sp.;1;1;rounded;1;0;none
Eggerella advena;0;0;elongated;1;0;none
Elphidium bartletti;1;1;rounded;1;1;tubercles
Elphidium clavatum;1;1;rounded;1;1;tubercles
Elphidium sp.;1;1;rounded;1;1;tubercles
Epistominella exigua;1;1;rounded;1;0;none
Eponides sp.;1;1;rounded;1;0;none
Fissurina sp.;1;1;ovoid;0;1;none
Globobulimina auriculata;1;1;ovoid;1;0;single-tooth
Globobulimina sp.;1;1;ovoid;1;0;single-tooth
Globocassidulina sp.;1;1;rounded;1;0;single-tooth
Glomospira sp.;0;0;rounded;0;0;none
Haplophragmoides sp.;0;0;rounded;1;0;none
Hippocrepina sp.;0;0;elongated;0;1;none
Hormosina globulifera;0;0;elongated;0;1;none
Hyalinonetrion sp.;1;1;elongated;0;1;none
Islandiella helenae;1;1;rounded;1;0;single-tooth
Islandiella norcrossi;1;1;rounded;1;0;single-tooth
Islandiella sp.;1;1;rounded;1;0;single-tooth
Labrospira crassimargo;0;0;rounded;1;1;none
Lagena striata;1;1;elongated;0;1;none
Lagenammina difflugiformis;0;0;ovoid;0;1;none
Leptohalysis scottii;0;0;elongated;1;1;none
Lotostomoides calomorphum;1;1;elongated;1;1;none
Melonis pompilioides;1;1;rounded;1;1;none
Miliolinella circularis;1;0;rounded;1;0;single-tooth
Miliolinella sp.;1;0;rounded;1;0;single-tooth
Miliolinella sp. juvanile;1;0;rounded;1;0;single-tooth
Nonion commune;1;1;rounded;1;1;none
Nonion sp.;1;1;rounded;1;1;none
Nonionella digitata;1;1;rounded;1;0;none
Nonionella turgida;1;1;rounded;1;0;none
Nonionellina labradorica;1;1;rounded;1;1;tubercles
Paratrochammina sp.;0;0;rounded;1;0;none
Procerolagena gracilis (strie);1;1;elongated;0;1;none
Psammosphaera fusca;0;0;rounded;0;1;none
Pullenia cf osloensis;1;1;rounded;1;1;none
Pyrgo williamsoni;1;0;rounded;1;1;single-tooth
Pyrulina cilindroides;1;1;elongated;1;0;none
Pyrulina sp.;1;1;elongated;1;0;none
Quinqueloculina arctica;1;0;ovoid;1;0;single-tooth
Quinqueloculina seminula;1;0;ovoid;1;0;single-tooth
Quinqueloculina stalkeri;1;0;ovoid;1;0;single-tooth
Recurvoides turbinatus;0;0;rounded;1;0;none
Reophax catella;0;0;elongated;1;1;none
Reophax fusiformis;0;0;elongated;1;0;none
Reophax scorpiurus;0;0;elongated;1;1;none
Reophax sp.;0;0;elongated;1;1;none
Robertina arctica;1;1;ovoid;1;0;none
Saccammina cf. sphaerica;0;0;rounded;0;1;none
Silicosigmoilina groenlandica;0;0;ovoid;1;0;none
Siphonaperta agglutinata;0;0;ovoid;1;0;none
Spiroplectammina biformis;0;0;elongated;1;1;none
Stainforthia feylingi;1;1;elongated;1;0;single-tooth
Stainforthia loeblichi;1;1;elongated;1;0;single-tooth
Textularia earlandi;0;0;elongated;1;1;none
Textularia torquata;0;0;elongated;1;1;none
Trifarina fluens;1;1;elongated;1;0;none
Triloculina oblonga;1;0;elongated;1;0;single-tooth
Triloculina trihedra;1;0;ovoid;1;0;single-tooth
Trochammina inflata;0;0;rounded;1;0;none
Trochammina sp.;0;0;rounded;1;0;none
