response;fraction;model;df;AICc;delta_AICc
Richness;>63 µm;GLM;2;81.91633541249062;13.4
Richness;>63 µm;GAM;2.939839736716588;68.51152623552792;0
Richness;>100 µm;GLM;2;78.32732663379713;13.03
Richness;>100 µm;GAM;2.93808488282687;65.2974035898286;0
Richness;>125 µm;GLM;2;81.58719449108177;14.21
Richness;>125 µm;GAM;2.94082899491746;67.37486741362535;0
Richness;>150 µm;GLM;2;73.46702147879196;11.18
Richness;>150 µm;GAM;2.9293996630966155;62.284875437659785;0
Tax_evenness;>63 µm;GLM;3;-7.6571391448776644;0
Tax_evenness;>63 µm;GAM;3.9528627515843615;-5.209937936806547;2.45
Tax_evenness;>100 µm;GLM;3;-5.860982668027788;0
Tax_evenness;>100 µm;GAM;3.697871072320018;-2.4273060327658627;3.43
Tax_evenness;>125 µm;GLM;3;-2.1773206200655473;0
Tax_evenness;>125 µm;GAM;3.8156229457762887;1.5686761994421907;3.75
Tax_evenness;>150 µm;GLM;3;-0.5660431611659096;0
Tax_evenness;>150 µm;GAM;3.000006624078623;-0.38716585152226557;0.18
Shannon;>63 µm;GLM;3;28.425533914427533;3.14
Shannon;>63 µm;GAM;3.9392787232249447;25.289050591964507;0
Shannon;>100 µm;GLM;3;25.740878723183258;2.94
Shannon;>100 µm;GAM;3.9300141345173136;22.803817591315877;0
Shannon;>125 µm;GLM;3;26.364172970301393;4.43
Shannon;>125 µm;GAM;3.9397598172703057;21.933615820030198;0
Shannon;>150 µm;GLM;3;22.952426962845465;0
Shannon;>150 µm;GAM;3.5867980727808835;24.62776550477487;1.68
Fun_richness;>63 µm;GLM;3;-26.22057690776136;1.3
Fun_richness;>63 µm;GAM;3.8856556472881376;-27.525144906867006;0
Fun_richness;>100 µm;GLM;3;-26.82974384635317;1.75
Fun_richness;>100 µm;GAM;3.895072880944147;-28.5842060698736;0
Fun_richness;>125 µm;GLM;3;-24.77692498252139;0
Fun_richness;>125 µm;GAM;3.5996171454513455;-23.213581235601993;1.56
Fun_richness;>150 µm;GLM;3;-25.74869245012116;0.02
Fun_richness;>150 µm;GAM;3.833959183677828;-25.76476848036935;0
Fun_evenness;>63 µm;GLM;3;-19.411081976510065;0
Fun_evenness;>63 µm;GAM;3.000029675403924;-19.165627375303437;0.25
Fun_evenness;>100 µm;GLM;3;-17.939985904656062;0
Fun_evenness;>100 µm;GAM;3.0000247236604856;-17.69754746159306;0.24
Fun_evenness;>125 µm;GLM;3;-16.622157778555863;0
Fun_evenness;>125 µm;GAM;3.000103781366927;-16.38176952072871;0.24
Fun_evenness;>150 µm;GLM;3;-11.33288374809889;0
Fun_evenness;>150 µm;GAM;3.0000087370006394;-11.100519266687364;0.23
Rao;>63 µm;GLM;3;-2.6657334668435926;0
Rao;>63 µm;GAM;3.704201815972544;0.6736442056432441;3.34
Rao;>100 µm;GLM;3;-2.694639436878134;0
Rao;>100 µm;GAM;3.0000934824788823;-2.56102206580438;0.13
Rao;>125 µm;GLM;3;-0.6148073452388729;0
Rao;>125 µm;GAM;3.6290120243179986;2.464297211293996;3.08
Rao;>150 µm;GLM;3;-1.2770841233174242;0
Rao;>150 µm;GAM;3.000024171982878;-1.1279156173591183;0.15
