Fraction;Diversity_metric;St2;St7;St1;St3;St4;St5;St8;St6;St9
>63 µm;Richness;11;21;23;52;52;62;67;56;58
>63 µm;Evenness;0.15991936178975186;0.5462028386286799;0.4552216341921551;0.563525171575589;0.7403178755373265;0.7273933377815668;0.7086160646492834;0.7263562504911252;0.7575903749641417
>63 µm;Shannon;0.38346988166457835;1.662926797753242;1.4273448009753176;2.2266252944505673;2.9251763554704087;3.0020500558110235;2.9795127370127132;2.9238393609904945;3.07615254288039
>63 µm;Fun_richness;0.0881235931204942;0.13193570061825405;0.12304676999370856;0.2088066399893236;0.20409583967706446;0.22142426061367845;0.2221233899886427;0.20797434311436616;0.1781614690533905
>63 µm;Fun_evenness;0.1809144338379527;0.3019590814693802;0.20258531772329588;0.2674694529630833;0.35561260011781587;0.3729953518890218;0.3365774452472973;0.32954226955952776;0.39013535444187564
>63 µm;Rao;0.14564889709981646;0.7272290971967565;0.39589231198353886;0.7285346863814629;0.823745499637269;0.8611594795441184;0.8556361406195304;0.8182161766864754;0.8650164902433142
>100 µm;Richness;9;17;21;47;45;54;59;50;51
>100 µm;Evenness;0.15002577970671707;0.4412887655150575;0.42756793463990883;0.408997220930254;0.761546541038948;0.6842929098060829;0.6481713007548255;0.7083624372410331;0.7491797713079709
>100 µm;Shannon;0.32964033040562823;1.2502652190393555;1.3017401706622644;1.5746996692706963;2.8989506519872967;2.729633500393511;2.6429427488928767;2.7711301506680726;2.9456442283472284
>100 µm;Fun_richness;0.0783191359334955;0.11327560468170816;0.11497349030662135;0.19948491498980023;0.19713783780242022;0.20484490686452617;0.21280166498911934;0.19886901530233173;0.17087054842876329
>100 µm;Fun_evenness;0.186100397589846;0.27450471110932745;0.1980768559372215;0.25289584698984313;0.39761623607475227;0.36948317357428717;0.33707592431454636;0.35291231394298855;0.42151960232402197
>100 µm;Rao;0.12177972876283569;0.6127304125149708;0.3708401067908168;0.5043648362265841;0.8442427839066149;0.8342013608998277;0.8166001755930387;0.8219371152224515;0.8645328087279823
>125 µm;Richness;8;12;16;40;40;50;54;45;41
>125 µm;Evenness;0.1300056474916382;0.3736282489921778;0.47689743895975995;0.35739819328774275;0.7864616310000522;0.7084573659717252;0.5776516212825031;0.6859576775428768;0.7382226552702184
>125 µm;Shannon;0.2703391440470974;0.9284313204693093;1.3222404609248648;1.3183988521565955;2.9011621520450284;2.7715015140464163;2.3042431017678933;2.611209360672434;2.7414430316197667
>125 µm;Fun_richness;0.0783191359334955;0.10511909530712521;0.08559341062062358;0.18986356311529218;0.18452021717806538;0.20484490686452617;0.21280166498911934;0.19886901530233173;0.16186509624172374
>125 µm;Fun_evenness;0.17664544756800443;0.23148363982744993;0.2616909446630651;0.23653706320495163;0.4366074735375293;0.3734415352714544;0.3207867933959242;0.3545161372827989;0.4103813122850151
>125 µm;Rao;0.10049222902002766;0.5070112710687833;0.39384620023563044;0.4265756814028883;0.8772567548459391;0.8614086181266984;0.768523237639379;0.7954538562585477;0.8436795176815138
>150 µm;Richness;6;8;14;29;30;39;42;33;30
>150 µm;Evenness;0.4066265321335417;0.452122149918832;0.7488701394344461;0.3411296785474731;0.7687442536119493;0.6893374085511029;0.5253085379854736;0.7181047808372978;0.7697443861920038
>150 µm;Shannon;0.7285769393896393;0.9401615804548178;1.9763112304044756;1.1486845440575326;2.61465094255279;2.525430091210223;1.9634297626531596;2.5108587961228412;2.6180525908653864
>150 µm;Fun_richness;0.05867692968449983;0.07806944687100828;0.08559341062062358;0.17561464061602072;0.17524842999103946;0.18638456217797006;0.18941412280281514;0.18223972374068198;0.1456353071800536
>150 µm;Fun_evenness;0.31779876578908434;0.281840335703318;0.45194290322608716;0.219438148572117;0.43980755496404067;0.36106619990371314;0.30594621043933884;0.3436494625424334;0.41197763815268684
>150 µm;Rao;0.3702853076790404;0.5353776339941335;0.7776056544548362;0.3899864392939514;0.8630477460185645;0.8427444286576171;0.7062130745697456;0.8004499157622857;0.8385303964437885
